               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058151,            0.020292,            0.067606,            0.083944,             0.60884,            0.096066,            0.069771,            0.025119,           0.0048541,             0.06507,             0.07012,           0.0033201,           0.0033201
                   1,            0.032048,            0.011008,            0.064825,            0.079904,             0.97503,             0.10435,            0.069752,            0.024831,           0.0033445,            0.064119,            0.039955,           0.0064887,           0.0064887
                   2,            0.029501,           0.0090063,            0.062382,             0.22973,             0.32811,             0.26545,             0.18833,             0.02058,           0.0032604,            0.056914,           0.0096252,           0.0094924,           0.0094924
                   3,             0.02749,           0.0086369,            0.052517,             0.39692,             0.60363,             0.42968,             0.33728,            0.018824,           0.0035178,            0.046787,           0.0092575,           0.0092575,           0.0092575
                   4,            0.026163,           0.0083302,            0.041551,             0.60006,             0.69464,             0.69046,              0.5488,            0.019218,            0.003837,            0.029871,           0.0092575,           0.0092575,           0.0092575
                   5,            0.025019,           0.0082972,             0.03365,             0.73518,             0.79092,             0.83555,             0.67611,            0.017538,           0.0029531,            0.023418,             0.00901,             0.00901,             0.00901
                   6,             0.02425,           0.0080301,            0.027119,             0.88417,             0.82443,             0.92106,             0.77853,            0.016304,             0.00283,            0.020513,           0.0087625,           0.0087625,           0.0087625
                   7,            0.023714,           0.0078501,            0.023147,             0.90557,             0.87432,             0.94552,             0.80515,             0.01675,            0.003225,            0.015446,            0.008515,            0.008515,            0.008515
                   8,            0.023419,           0.0077612,            0.020898,             0.81554,             0.71073,             0.80719,             0.67811,            0.016758,           0.0033244,            0.028462,           0.0082675,           0.0082675,           0.0082675
                   9,             0.02263,           0.0076285,            0.018371,             0.91394,             0.87607,             0.94775,             0.82355,            0.015028,           0.0027539,            0.011626,             0.00802,             0.00802,             0.00802
                  10,            0.022016,           0.0073883,            0.017485,             0.94959,             0.90162,             0.96375,             0.84516,            0.015204,           0.0027675,            0.012513,           0.0077725,           0.0077725,           0.0077725
                  11,            0.021198,            0.007193,             0.01594,             0.91496,             0.86053,             0.93609,             0.81505,            0.015021,           0.0026144,             0.01255,            0.007525,            0.007525,            0.007525
                  12,            0.020838,            0.006921,            0.014781,             0.97806,             0.97221,             0.98906,             0.88558,            0.013817,           0.0021551,           0.0047085,           0.0072775,           0.0072775,           0.0072775
                  13,            0.020241,            0.006802,            0.013729,             0.96539,             0.96672,             0.98653,             0.89411,            0.012459,           0.0022775,           0.0054784,             0.00703,             0.00703,             0.00703
                  14,            0.019713,           0.0066485,            0.012887,             0.98402,             0.97393,             0.99048,             0.90854,            0.011592,           0.0021625,           0.0050256,           0.0067825,           0.0067825,           0.0067825
                  15,            0.019287,           0.0065112,            0.012193,             0.97533,             0.96674,             0.99152,             0.90213,            0.011868,           0.0021684,           0.0040563,            0.006535,            0.006535,            0.006535
                  16,            0.018556,           0.0062553,             0.01209,             0.99364,             0.98639,             0.99395,             0.91694,            0.010999,           0.0019753,           0.0028696,           0.0062875,           0.0062875,           0.0062875
                  17,            0.018559,           0.0062586,            0.010595,             0.98708,             0.97848,             0.99182,             0.92208,            0.010627,           0.0019713,           0.0033719,             0.00604,             0.00604,             0.00604
                  18,            0.017718,           0.0060767,            0.010516,             0.98685,             0.98063,             0.99234,             0.92576,            0.010226,           0.0019155,           0.0036295,           0.0057925,           0.0057925,           0.0057925
                  19,            0.017107,           0.0060109,            0.010345,             0.99261,             0.98914,             0.99358,             0.92725,            0.010317,           0.0017802,            0.002486,            0.005545,            0.005545,            0.005545
                  20,            0.017016,           0.0059754,           0.0098153,             0.99556,             0.98972,             0.99444,             0.93918,            0.010018,           0.0017741,           0.0020846,           0.0052975,           0.0052975,           0.0052975
                  21,            0.016686,           0.0058022,           0.0095164,             0.99446,             0.98878,              0.9939,             0.94254,           0.0093556,           0.0017329,            0.002134,             0.00505,             0.00505,             0.00505
                  22,            0.016346,            0.005745,           0.0094208,             0.99591,             0.98818,             0.99448,              0.9486,           0.0089588,           0.0016709,            0.002349,           0.0048025,           0.0048025,           0.0048025
                  23,            0.015884,           0.0056054,           0.0083665,             0.99304,             0.98802,             0.99466,             0.95071,           0.0089251,           0.0016897,            0.002097,            0.004555,            0.004555,            0.004555
                  24,            0.015257,           0.0053924,           0.0079002,             0.99404,             0.99081,             0.99461,             0.95843,            0.008835,           0.0016313,           0.0019801,           0.0043075,           0.0043075,           0.0043075
                  25,            0.015184,           0.0053584,           0.0081267,             0.99541,             0.99149,             0.99424,             0.95733,           0.0084399,           0.0015503,           0.0019166,             0.00406,             0.00406,             0.00406
                  26,            0.014732,           0.0051705,           0.0075008,             0.99594,             0.99199,             0.99473,               0.963,           0.0084563,           0.0014779,           0.0013587,           0.0038125,           0.0038125,           0.0038125
                  27,            0.014236,           0.0052079,           0.0074172,             0.99567,             0.99578,             0.99499,             0.96146,           0.0079534,           0.0014779,            0.001122,            0.003565,            0.003565,            0.003565
                  28,            0.013769,           0.0050053,           0.0068754,             0.99594,             0.99582,             0.99474,             0.96911,           0.0075858,           0.0014155,           0.0014046,           0.0033175,           0.0033175,           0.0033175
                  29,            0.013553,           0.0050509,           0.0065492,             0.99782,              0.9949,               0.995,             0.97032,           0.0074121,           0.0013752,           0.0011038,             0.00307,             0.00307,             0.00307
                  30,            0.013284,           0.0048544,           0.0062437,              0.9972,             0.99375,              0.9949,             0.97015,           0.0072968,           0.0013865,           0.0011443,           0.0028225,           0.0028225,           0.0028225
                  31,            0.012754,           0.0047804,           0.0057796,              0.9976,             0.99482,             0.99493,             0.97336,            0.007035,           0.0013543,           0.0010721,            0.002575,            0.002575,            0.002575
                  32,            0.012488,           0.0046712,           0.0056643,             0.99736,             0.99547,             0.99498,             0.97532,            0.006865,            0.001311,          0.00070737,           0.0023275,           0.0023275,           0.0023275
                  33,            0.012057,           0.0046322,           0.0053929,             0.99819,             0.99497,             0.99497,             0.97725,           0.0067743,           0.0012913,          0.00068382,             0.00208,             0.00208,             0.00208
                  34,            0.011712,           0.0045805,           0.0053376,             0.99916,             0.99494,             0.99497,             0.97906,           0.0064888,           0.0012453,           0.0006462,           0.0018325,           0.0018325,           0.0018325
                  35,            0.011388,           0.0044838,           0.0050902,             0.99877,             0.99542,             0.99495,             0.97969,            0.006462,           0.0012116,          0.00063399,            0.001585,            0.001585,            0.001585
                  36,            0.011232,            0.004414,           0.0050212,             0.99827,             0.99529,             0.99495,             0.98073,           0.0063089,           0.0012059,          0.00071153,           0.0013375,           0.0013375,           0.0013375
                  37,             0.01096,            0.004341,           0.0050239,             0.99818,             0.99435,             0.99495,             0.98244,           0.0060613,           0.0011604,          0.00071255,             0.00109,             0.00109,             0.00109
                  38,            0.010346,           0.0041357,           0.0044855,             0.99826,             0.99524,             0.99497,              0.9812,           0.0060753,           0.0011542,           0.0005194,           0.0008425,           0.0008425,           0.0008425
                  39,            0.010129,           0.0041699,           0.0043664,             0.99817,             0.99459,             0.99495,             0.98303,           0.0059475,           0.0011257,          0.00050107,            0.000595,            0.000595,            0.000595
